2025-07-07 17:59:23 status unpacked krb5-locales:all 1.20.1-6ubuntu2.6
2025-07-07 17:59:23 upgrade libk5crypto3:amd64 1.20.1-6ubuntu2.2 1.20.1-6ubuntu2.6
2025-07-07 17:59:23 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.4
2025-07-07 17:59:23 status half-configured libk5crypto3:amd64 1.20.1-6ubuntu2.2
2025-07-07 17:59:23 status unpacked libk5crypto3:amd64 1.20.1-6ubuntu2.2
2025-07-07 17:59:23 status half-installed libk5crypto3:amd64 1.20.1-6ubuntu2.2
2025-07-07 17:59:23 status unpacked libk5crypto3:amd64 1.20.1-6ubuntu2.6
2025-07-07 17:59:23 upgrade libgssapi-krb5-2:amd64 1.20.1-6ubuntu2.2 1.20.1-6ubuntu2.6
2025-07-07 17:59:23 status half-configured libgssapi-krb5-2:amd64 1.20.1-6ubuntu2.2
2025-07-07 17:59:23 status unpacked libgssapi-krb5-2:amd64 1.20.1-6ubuntu2.2
2025-07-07 17:59:23 status half-installed libgssapi-krb5-2:amd64 1.20.1-6ubuntu2.2
2025-07-07 17:59:23 status unpacked libgssapi-krb5-2:amd64 1.20.1-6ubuntu2.6
2025-07-07 17:59:23 upgrade libkrb5support0:amd64 1.20.1-6ubuntu2.2 1.20.1-6ubuntu2.6
2025-07-07 17:59:23 status half-configured libkrb5support0:amd64 1.20.1-6ubuntu2.2
2025-07-07 17:59:23 status unpacked libkrb5support0:amd64 1.20.1-6ubuntu2.2
2025-07-07 17:59:23 status half-installed libkrb5support0:amd64 1.20.1-6ubuntu2.2
2025-07-07 17:59:23 status unpacked libkrb5support0:amd64 1.20.1-6ubuntu2.6
2025-07-07 17:59:23 upgrade libkrb5-3:amd64 1.20.1-6ubuntu2.2 1.20.1-6ubuntu2.6
2025-07-07 17:59:23 status half-configured libkrb5-3:amd64 1.20.1-6ubuntu2.2
2025-07-07 17:59:23 status unpacked libkrb5-3:amd64 1.20.1-6ubuntu2.2
2025-07-07 17:59:23 status half-installed libkrb5-3:amd64 1.20.1-6ubuntu2.2
2025-07-07 17:59:23 status unpacked libkrb5-3:amd64 1.20.1-6ubuntu2.6
2025-07-07 17:59:23 startup packages configure
2025-07-07 17:59:23 configure krb5-locales:all 1.20.1-6ubuntu2.6 <none>
2025-07-07 17:59:23 status unpacked krb5-locales:all 1.20.1-6ubuntu2.6
2025-07-07 17:59:23 status half-configured krb5-locales:all 1.20.1-6ubuntu2.6
2025-07-07 17:59:23 status installed krb5-locales:all 1.20.1-6ubuntu2.6
2025-07-07 17:59:23 configure libkrb5support0:amd64 1.20.1-6ubuntu2.6 <none>
2025-07-07 17:59:23 status unpacked libkrb5support0:amd64 1.20.1-6ubuntu2.6
